Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,PCA,COD,BAZUOD
arrhythmia,452,274,14.6018,0.20062000000000002,0.25567,0.24290000000000003,0.29146,0.0264,0.05097,0.004300000000000001,0.0166,0.11188000000000001,0.1008,0.1026
breastw,683,9,34.9927,0.0722,0.07769999999999999,0.0044,0.27936000000000005,0.0191,0.018099999999999998,0.0066,0.016300000000000002,0.0015000000000000002,0.0052,0.006799999999999999
cardio,1831,21,9.6122,0.2411,0.14946,0.01064,0.3234,0.0749,0.05519,0.04069,0.1282,0.00738,0.019999999999999997,0.017799999999999996
ionosphere,351,33,35.8974,0.0418,0.0639,0.013800000000000002,0.2631,0.008799999999999999,0.018,0.0030999999999999995,0.0057599999999999995,0.0020000000000000005,0.0128,0.014400000000000001
lympho,148,18,4.0541,0.018510000000000002,0.058800000000000005,0.007400000000000001,0.25150000000000006,0.0038000000000000004,0.015900000000000004,0.0012000000000000001,0.0015000000000000002,0.0011000000000000003,0.005599999999999999,0.008200000000000002
mammography,10000,6,2.43,1.1237,0.25085,0.006500000000000001,0.5348599999999999,0.36466000000000004,0.08340999999999998,0.18116,3.2134699999999996,0.004200000000000001,0.026600000000000002,0.020999999999999994
optdigits,5216,64,2.8758,1.27753,0.28959999999999997,0.04569999999999999,0.64909,0.67089,0.06664,0.34021,1.10052,0.05291,0.1419,0.10290999999999999
pima,768,8,34.8958,0.09249999999999999,0.09609999999999999,0.004200000000000001,0.28227,0.022199999999999998,0.018699999999999998,0.0083,0.020149999999999998,0.0012000000000000001,0.005999999999999999,0.0064
satellite,6435,36,31.6395,1.21752,0.37134999999999996,0.029400000000000003,0.5957899999999999,0.6259399999999999,0.07501,0.51239,1.5525899999999997,0.02361,0.12100999999999999,0.08420999999999998
satimage-2,5803,36,1.2235,1.08801,0.33605,0.0264,0.54123,0.5727,0.06968,0.42371,1.2568199999999998,0.02102,0.10451999999999999,0.07706999999999999
speech,3686,400,1.6549,2.26752,0.42940000000000006,0.17256,2.33155,1.70757,0.07593000000000001,0.19911,1.38945,0.8703800000000002,0.8833300000000002,0.669
wbc,378,30,5.5556,0.04459999999999999,0.06809000000000001,0.011999999999999999,0.26199,0.009399999999999999,0.01779,0.0032,0.0068000000000000005,0.0017000000000000001,0.012399999999999998,0.013500000000000002
wine,129,13,7.7519,0.015200000000000002,0.05665000000000001,0.005599999999999999,0.24676,0.004010000000000001,0.015900000000000004,0.0015,0.0018000000000000002,0.0009000000000000001,0.0046,0.0064
